各列含意：
1.Samples（样本数）：表示采样器在程序执行期间捕获到该函数的样本数。
2.Percentage（百分比）：显示该函数占所有样本的百分比。它表示该函数在程序执行期间消耗的时间和资源的相对比例。
3.Cumulative Percentage（累积百分比）：表示当前函数及其上层调用函数的总体百分比。它表示当前函数及其上层调用函数在程序执行期间消耗的时间或资源的累积比例。
4.Self（自身开销）：表示当前函数自身消耗的时间或资源。它通常是除去当前函数调用的子函数开销后，当前函数剩余的开销。
5.Cumulative Self（累积自身开销）：表示当前函数及其上层调用函数的总体自身开销。它表示当前函数及其上层调用函数在程序执行期间剩余的自身开销的累积值。
6.Function Name（函数名称）：被分析的函数的名称。

Total: 6541 samples
     596   9.1%   9.1%      596   9.1% send
       2   0.0%  98.1%      122   1.9% std::shared_ptr::~shared_ptr
       2   0.0%  98.1%       11   0.2% std::tuple::tuple
       2   0.0%  98.1%        2   0.0% std::vector::end
       2   0.0%  98.2%        2   0.0% ws::BaseBuffer::BaseBuffer@19c90
       2   0.0%  98.2%        2   0.0% ws::Extrabuf::IsVaild &
       2   0.0%  98.2%        2   0.0% ws::Extrabuf::clear
       2   0.0%  98.2%       10   0.2% ws::FileProxy::IsTextFile
       2   0.0%  98.3%       12   0.2% ws::HttpParser::Finished
       2   0.0%  98.3%        9   0.1% ws::HttpRequest::Get_Value::{lambda#1}::operator
       2   0.0%  98.3%        2   0.0% ws::HttpRequest::Return_Flag
       2   0.0%  98.4%        2   0.0% ws::HttpRequest::Return_Uri
       2   0.0%  98.4%        2   0.0% ws::HttpRequest::Return_Version_Ma &
       2   0.0%  98.4%        2   0.0% ws::HttpRequest::Set_Flag
       2   0.0%  98.5%        2   0.0% ws::HttpRequest::Set_VMinor
       2   0.0%  98.5%      136   2.1% ws::HttpRequest::Store_Header
       2   0.0%  98.5%        2   0.0% ws::LockFreeQueue::Node::Node
       2   0.0%  98.5%      149   2.3% ws::Provider::RegularProvide@256d6
       2   0.0%  98.6%        9   0.1% ws::Provider::WriteDate
       2   0.0%  98.6%        2   0.0% ws::Provider::defaultMIME[abi:cxx11]
       2   0.0%  98.6%      253   3.9% ws::Web_Server::Running::{lambda#1}::operator
       2   0.0%  98.7%       27   0.4% ws::WriteLoop::AddSend
       2   0.0%  98.7%      574   8.8% ws::WriteLoop::AddSendFile::{lambda#1}::operator
       2   0.0%  98.7%      110   1.7% ws::WriteLoop::AddSendFile::{lambda#1}::~shared_ptr
       2   0.0%  98.8%       26   0.4% ws::WriteLoop::clear
       1   0.0%  98.8%        1   0.0% 0x00007ffd4da42a42
       1   0.0%  98.8%        1   0.0% __gnu_cxx::__ops::_Iter_pred::_Iter_pred
       1   0.0%  98.8%        2   0.0% __gnu_cxx::__ops::__pred_iter
       1   0.0%  98.8%        1   0.0% __gnu_cxx::operator-
       1   0.0%  98.8%        1   0.0% __gnu_cxx::operator==
       1   0.0%  98.9%        1   0.0% __strftime_l@@GLIBC_2.3
       1   0.0%  98.9%        1   0.0% gmtime@@GLIBC_2.2.5
       1   0.0%  98.9%        1   0.0% std::_Deque_base::_M_destroy_nodes
       1   0.0%  98.9%        1   0.0% std::_Deque_iterator::_M_set_node
       1   0.0%  98.9%        1   0.0% std::_Hashtable::__small_size_threshold
       1   0.0%  98.9%      133   2.0% std::_Hashtable::emplace
       1   0.0%  98.9%        1   0.0% std::_Sp_counted_base::~_Sp_counted_base
       1   0.0%  99.0%        1   0.0% std::_Sp_counted_ptr_inplace::_Impl::_Impl
       1   0.0%  99.0%        1   0.0% std::__allocated_ptr::__allocated_ptr
       1   0.0%  99.0%        1   0.0% std::__allocated_ptr::get
       1   0.0%  99.0%        1   0.0% std::__allocated_ptr::operator=
       1   0.0%  99.0%        3   0.0% std::__allocated_ptr::~__allocated_ptr
       1   0.0%  99.0%        1   0.0% std::__copy_move::__copy_m
       1   0.0%  99.1%        1   0.0% std::__cxx11::basic_string::_M_data (inline)
       1   0.0%  99.1%        4   0.1% std::__cxx11::to_string
       1   0.0%  99.1%        1   0.0% std::__deque_buf_size
       1   0.0%  99.1%        3   0.0% std::__detail::_Hash_node::_Hash_node
       1   0.0%  99.1%       28   0.4% std::__detail::_Hashtable_base::_M_equals
       1   0.0%  99.1%        1   0.0% std::__detail::_Hashtable_base::_S_equals
       1   0.0%  99.1%        1   0.0% std::__detail::_Hashtable_hash_traits::__small_size_threshold
       1   0.0%  99.2%        2   0.0% std::__detail::_Node_const_iterator::operator++
       1   0.0%  99.2%        1   0.0% std::__detail::_Prime_rehash_policy::_M_reset
       1   0.0%  99.2%        1   0.0% std::__detail::operator!=@166a2
       1   0.0%  99.2%        1   0.0% std::__new_allocator::~__new_allocator
       1   0.0%  99.2%        2   0.0% std::__ptr_traits_ptr_to::pointer_to
       1   0.0%  99.2%        6   0.1% std::__shared_ptr::swap
       1   0.0%  99.3%       17   0.3% std::__uniq_ptr_data::__uniq_ptr_impl
       1   0.0%  99.3%       16   0.2% std::__uniq_ptr_data::operator=
       1   0.0%  99.3%       15   0.2% std::__uniq_ptr_impl::operator=
       1   0.0%  99.3%        2   0.0% std::addressof
       1   0.0%  99.3%       10   0.2% std::deque::_M_destroy_data
